Site,Period,Pop,Growth,Squared,Mean (short),sd,CV,Mean(long),Updated,lcl,ucl,growth,squared,lcl_growth,lcl_squared,ucl_growth,ucl_squared,longterm,lcl_longterm,ucl_longterm,sd,sd_lcl,sd_ucl,cv,cv_lcl,cv_ucl
Lh.Caves,1,,,,,,,,,,,,,,,,,,,,,,,,,
Lh.Caves,2,,,,,,,,,,,,,,,,,,,,,,,,,
Lh.Caves,3,27.07,,,,,,,27.08,24.34,35.38,,,,,,,,,,,,,,,
Lh.Caves,4,28.28,1.04,1.09,,,,,28.28,25.4,36.94,1.04431314623338,1.09,1.04,1.09,1.04,1.09,,,,,,,,,
Lh.Caves,5,37.87,1.34,1.79,,,,,37.87,34.27,47.21,1.33910891089109,1.79,1.35,1.82,1.28,1.63,,,,,,,,,
Lh.Caves,6,39.07,1.03,1.06,,,,,39.07,35.38,48.52,1.03168735146554,1.06,1.03,1.07,1.03,1.06,,,,,,,,,
Lh.Caves,7,41.47,1.06,1.13,,,,,41.47,37.59,51.15,1.06142820578449,1.13,1.06,1.13,1.05,1.11,,,,,,,,,
Lh.Caves,8,39.71,0.96,0.92,1.1985,0.34,0.285275378470915,1.13624122893692,39.71,36.66,48.39,0.957559681697613,0.92,0.98,0.95,0.95,0.89,1.16546836799697,1.1780093966036,1.13344151955547,0.34,0.35,0.28,0.29,0.29,0.24
Lh.Express,1,,,,,,,,,,,,,,,,,,,,,,,,,
Lh.Express,2,,,,,,,,,,,,,,,,,,,,,,,,,
Lh.Express,3,16.87,,,,,,,14.22,10.04,26.98,,,,,,,,,,,,,,,
Lh.Express,4,6.00,0.36,0.13,,,,,5.00,3.34,14.71,0.35,0.12,0.33,0.11,0.55,0.30,,,,,,,,,
Lh.Express,5,19.04,3.17,10.07,,,,,16.07,11.45,29.4,3.21,10.33,3.43,11.75,2.00,3.99,,,,,,,,,
Lh.Express,6,27.72,1.46,2.12,,,,,23.43,17.18,39.02,1.45799626633479,2.13,1.50,2.25,1.33,1.76,,,,,,,,,
Lh.Express,7,29.99,1.08,1.17,,,,,25.28,18.64,41.41,1.07895860008536,1.16,1.08,1.18,1.06,1.13,,,,,,,,,
Lh.Express,8,21.04,0.70,0.49,2.7958,4.14,1.47959030379606,1.07640791935502,17.86,13.41,30.52,0.706487341772152,0.50,0.72,0.52,0.74,0.54,1.09545046302185,1.12,1.05055074137522,4.25,4.87,1.48,1.49,1.54,0.96
Lh.KHR,1,,,,,,,,,,,,,,,,,,,,,,,,,
Lh.KHR,2,6,,,,,,,6,6,6,,,,,,,,,,,,,,,
Lh.KHR,3,24,4.00,16.00,,,,,24,24,24,4,16.00,4.00,16.00,4.00,16.00,,,,,,,,,
Lh.KHR,4,34,1.42,2.01,,,,,34,34,34,1.41666666666667,2.01,1.42,2.01,1.42,2.01,,,,,,,,,
