Site,Period,Pop,Growth,Squared,Mean (short),sd,CV,Mean(long),Updated,lcl,ucl,growth,squared,lcl_growth,lcl_squared,ucl_growth,ucl_squared,longterm,lcl_longterm,ucl_longterm,sd,sd_lcl,sd_ucl,cv,cv_lcl,cv_ucl
Lh.KHR,5,45,1.32,1.75,,,,,45,45,45,1.32352941176471,1.75,1.32,1.75,1.32,1.75,,,,,,,,,
Lh.KHR,6,45,1.00,1.00,,,,,45,45,45,1,1.00,1.00,1.00,1.00,1.00,,,,,,,,,
Lh.KHR,7,41,0.91,0.83,,,,,41,41,41,0.911111111111111,0.83,0.91,0.83,0.91,0.83,,,,,,,,,
Lh.KHR,8,36,0.88,0.77,3.7266,6.03,1.61919180557959,1.66851044102683,36,36,36,0.878048780487805,0.77,0.88,0.77,0.88,0.77,1.81712059283214,1.81712059283214,1.81712059283214,6.03,6.03,6.03,1.62,1.62,1.62
L.HithadhooW,1,7.09,,,,,,,7.09,3.03,27.2,,,,,,,,,,,,,,,
L.HithadhooW,2,22.32,3.15,9.91,,,,,22.32,12.36,50.85,3.14809590973202,9.91,4.08,16.64,1.87,3.49,,,,,,,,,
L.HithadhooW,3,2.73,0.12,0.01,,,,,2.73,1.18,17.19,0.122311827956989,0.01,0.10,0.01,0.34,0.11,,,,,,,,,
L.HithadhooW,4,12.53,4.59,21.07,,,,,12.53,6.39,34.48,4.58974358974359,21.07,5.42,29.32,2.01,4.02,,,,,,,,,
L.HithadhooW,5,25.58,2.04,4.17,,,,,25.58,14.41,56.23,2.0415003990423,4.17,2.26,5.09,1.63,2.66,,,,,,,,,
L.HithadhooW,6,2.73,0.11,0.01,,,,,2.73,1.18,17.19,0.106724003127443,0.01,0.08,0.01,0.31,0.09,,,,,,,,,
L.HithadhooW,7,15.80,5.79,33.50,,,,,15.80,8.33,39.99,5.79,33.50,7.06,49.83,2.33,5.41,,,,,,,,,
L.HithadhooW,8,22.5,1.42,2.03,10.0991,12.72,1.25996131402757,1.3347012608498,22.5,13.12,49.07,1.42,2.03,1.58,2.48,1.23,1.51,1.39090055634343,1.52003864844173,1.18362320940484,12.72,18.82,2.01,1.26,1.27,0.81
L.Hithadhoo,1,,,,,,,,,,,,,,,,,,,,,,,,,
L.Hithadhoo,2,28.31,,,,,,,25.31,24.23,31.45,,,,,,,,,,,,,,,
L.Hithadhoo,3,24.70,0.87,0.76,,,,,22.07,21.16,28.16,0.871987356775978,0.76,0.87,0.76,0.90,0.80,,,,,,,,,
L.Hithadhoo,4,36.71,1.49,2.21,,,,,32.84,31.42,39.17,1.48799275033983,2.21,1.48,2.20,1.39,1.93,,,,,,,,,
L.Hithadhoo,5,31.91,0.87,0.76,,,,,28.53,27.3,34.75,0.868757612667479,0.75,0.87,0.75,0.89,0.79,,,,,,,,,
L.Hithadhoo,6,28.31,0.89,0.79,,,,,25.31,24.23,31.45,0.887136347704171,0.79,0.89,0.79,0.91,0.82,,,,,,,,,
L.Hithadhoo,7,43.93,1.55,2.41,,,,,39.3,37.6,45.83,1.55274595021731,2.41,1.55,2.41,1.46,2.12,,,,,,,,,
L.Hithadhoo,8,61.5,1.40,1.96,1.4801,0.79,0.535765266761748,1.248151242115,55.01,53.49,61.34,1.39974554707379,1.96,1.42,2.02,1.34,1.79,1.29533818025043,1.30208617544205,1.24941785293228,0.79,0.80,0.64,0.54,0.54,0.46
L.Olhuveli,1,11.37,,,,,,,11.37,8.9,20.63,,,,,,,,,,,,,,,
L.Olhuveli,2,20.08,1.77,3.12,,,,,20.08,16.69,30.26,1.7660510114336,3.12,1.88,3.52,1.47,2.15,,,,,,,,,
L.Olhuveli,3,18.71,0.93,0.87,,,,,18.71,15.52,28.63,0.931772908366534,0.87,1.88,3.52,1.47,2.15,,,,,,,,,
L.Olhuveli,4,21.46,1.15,1.32,,,,,21.46,17.87,31.9,1.14698022447889,1.32,0.93,0.86,0.95,0.90,,,,,,,,,
L.Olhuveli,5,13.21,0.62,0.38,,,,,13.21,10.86,22.07,0.615563839701771,0.38,1.15,1.33,1.11,1.24,,,,,,,,,
L.Olhuveli,6,14.59,1.10,1.22,,,,,14.59,12.01,23.71,1.10446631339894,1.22,0.61,0.37,0.69,0.48,,,,,,,,,
L.Olhuveli,7,14.59,1.00,1.00,,,,,14.59,12.01,23.71,1,1.00,1.11,1.22,1.07,1.15,,,,,,,,,
L.Olhuveli,8,14.98,1.03,1.05,1.2794,0.87,0.676722794370606,1.07136594407475,14.98,12.77,23.52,1.02673063742289,1.05,1.00,1.00,1.00,1.00,1.07384445570334,1.08939799502893,1.04055820690482,0.87,1.29,0.63,0.68,0.76,0.49
